Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Latitude,Longitude
39006,Brookfield White Pine Hydro LLC,1492.0,Harris Hydro,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,HA1,,15.0,16.8,16.8,Conventional Hydroelectric,WAT,HY,1.0,1954.0, , ,(OP) Operating, , , , , , , , ,45.4592,-69.8658
39006,Brookfield White Pine Hydro LLC,1492.0,Harris Hydro,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,HA2,,30.0,35,34.9,Conventional Hydroelectric,WAT,HY,1.0,1954.0, , ,(OP) Operating, , , , , , , , ,45.4592,-69.8658
39006,Brookfield White Pine Hydro LLC,1492.0,Harris Hydro,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,HA3,,30.0,34.2,34.2,Conventional Hydroelectric,WAT,HY,1.0,1955.0, , ,(OP) Operating, , , , , , , , ,45.4592,-69.8658
39006,Brookfield White Pine Hydro LLC,1492.0,Harris Hydro,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,HA4,,1.4,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1955.0, , ,(OP) Operating, , , , , , , , ,45.4592,-69.8658
39006,Brookfield White Pine Hydro LLC,1493.0,Hiram,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,1,,2.4,3.1,3.1,Conventional Hydroelectric,WAT,HY,1.0,1917.0, , ,(OP) Operating, , , , , , , , ,43.8525,-70.7969
39006,Brookfield White Pine Hydro LLC,1493.0,Hiram,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,2,,8.1,8.5,8.5,Conventional Hydroelectric,WAT,HY,1.0,1985.0, , ,(OP) Operating, , , , , , , , ,43.8525,-70.7969
56854,Messalonskee Stream Hydro LLC,1497.0,Messalonskee 2 (Oakland),Map,Map,ME,Kennebec,ISNE,IPP Non-CHP,1,,2.8,2.8,2.8,Conventional Hydroelectric,WAT,HY,1.0,1924.0, , ,(OP) Operating, , , , , , , , ,44.548544,-69.7104
56854,Messalonskee Stream Hydro LLC,1498.0,Messalonskee 3,Map,Map,ME,Kennebec,ISNE,IPP Non-CHP,1,,1.6,1.6,1.6,Conventional Hydroelectric,WAT,HY,1.0,1918.0, , ,(OP) Operating, , , , , , , , ,44.569872,-69.68184
56854,Messalonskee Stream Hydro LLC,1500.0,Messalonskee 5,Map,Map,ME,Kennebec,ISNE,IPP Non-CHP,1,,1.8,1.8,1.8,Conventional Hydroelectric,WAT,HY,1.0,1935.0, , ,(OP) Operating, , , , , , , , ,44.534397,-69.65223
39006,Brookfield White Pine Hydro LLC,1501.0,North Gorham,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,1,,1.1,1,1,Conventional Hydroelectric,WAT,HY,1.0,1925.0, , ,(OP) Operating, , , , , , , , ,43.802517,-70.44992
39006,Brookfield White Pine Hydro LLC,1501.0,North Gorham,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,2,,1.1,1,1,Conventional Hydroelectric,WAT,HY,1.0,1925.0, , ,(OP) Operating, , , , , , , , ,43.802517,-70.44992
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH1,,0.7,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH2,,0.7,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH3,,0.7,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH4,,0.7,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH5,,0.7,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH6,,0.9,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1921.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH7,,2.2,1.9,1.9,Conventional Hydroelectric,WAT,HY,1.0,1982.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1504.0,Shawmut,Map,Map,ME,Somerset,ISNE,IPP Non-CHP,SH8,,2.2,1.9,1.9,Conventional Hydroelectric,WAT,HY,1.0,1982.0, , ,(OP) Operating, , , , , , , , ,44.629517,-69.58353
39006,Brookfield White Pine Hydro LLC,1505.0,Skelton,Map,Map,ME,York,ISNE,IPP Non-CHP,1,,8.4,10.8,10.8,Conventional Hydroelectric,WAT,HY,1.0,1948.0, , ,(OP) Operating, , , , , , , , ,43.5708,-70.5583
39006,Brookfield White Pine Hydro LLC,1505.0,Skelton,Map,Map,ME,York,ISNE,IPP Non-CHP,2,,8.4,10.8,10.8,Conventional Hydroelectric,WAT,HY,1.0,1948.0, , ,(OP) Operating, , , , , , , , ,43.5708,-70.5583
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,1,,50.0,50.1,49.5,Petroleum Liquids,RFO,ST,1.0,1957.0, , ,(OP) Operating, , , , , , , , ,43.7508,-70.1567
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,2,,50.0,47.8,52.8,Petroleum Liquids,RFO,ST,1.0,1958.0, , ,(OP) Operating, , , , , , , , ,43.7508,-70.1567
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,3,,113.6,110.9,113.8,Petroleum Liquids,RFO,ST,1.0,1965.0, , ,(OP) Operating, , , , , , , , ,43.7508,-70.1567
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,4,,632.4,602.1,605.8,Petroleum Liquids,RFO,ST,1.0,1978.0, , ,(OP) Operating, , , , , , , , ,43.7508,-70.1567
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,BESS,,16.7,16.2,16.2,Batteries,MWH,BA,12.0,2016.0, , ,(OP) Operating,10.9, , , , , , , ,43.7508,-70.1567
39006,Brookfield White Pine Hydro LLC,1508.0,West Buxton,Map,Map,ME,York,ISNE,IPP Non-CHP,WB1,,0.6,0.6,0.6,Conventional Hydroelectric,WAT,HY,1.0,1982.0, , ,(OP) Operating, , , , , , , , ,43.66687,-70.60213
39006,Brookfield White Pine Hydro LLC,1508.0,West Buxton,Map,Map,ME,York,ISNE,IPP Non-CHP,WB2,,0.6,0.6,0.6,Conventional Hydroelectric,WAT,HY,1.0,1982.0, , ,(OP) Operating, , , , , , , , ,43.66687,-70.60213
39006,Brookfield White Pine Hydro LLC,1508.0,West Buxton,Map,Map,ME,York,ISNE,IPP Non-CHP,WB3,,1.1,1.1,1.1,Conventional Hydroelectric,WAT,HY,1.0,1920.0, , ,(OP) Operating, , , , , , , , ,43.66687,-70.60213
39006,Brookfield White Pine Hydro LLC,1508.0,West Buxton,Map,Map,ME,York,ISNE,IPP Non-CHP,WB4,,0.7,0.7,0.7,Conventional Hydroelectric,WAT,HY,1.0,1907.0, , ,(OP) Operating, , , , , , , , ,43.66687,-70.60213
