Time id,Generator Name,Generator Id,Dispatched Energy,Unit Status,Ramp Down Rate (MW/h),Ramp Up Rate (MW/h),Max Capacity,Minimum Capacity,Demand
0,William F Wyman Hybrid,BESS,0.0,0.0,6.68,6.68,16.7,5.01,24435
0,West Buxton,WB1,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,West Buxton,WB2,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,West Buxton,WB3,1.1,1.0,0.44,0.44,1.1,0.33,24435
0,West Buxton,WB4,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,West Buxton,WB5,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,West Buxton,WB6,4.0,1.0,1.6,1.6,4.0,1.2,24435
0,Weston Hydro,WE1,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Weston Hydro,WE2,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Weston Hydro,WE3,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Weston Hydro,WE4,3.0,1.0,1.2,1.2,3.0,0.9,24435
0,Williams Hydro,WI1,7.0,1.0,2.8,2.8,7.0,2.1,24435
0,Williams Hydro,WI2,6.0,1.0,2.4,2.4,6.0,1.8,24435
0,Wyman Hydro,WY1,24.0,1.0,9.6,9.6,24.0,7.2,24435
0,Wyman Hydro,WY2,24.0,1.0,9.6,9.6,24.0,7.2,24435
0,Wyman Hydro,WY3,24.0,1.0,9.6,9.6,24.0,7.2,24435
0,Exelon Framingham LLC,GT1,14.2,1.0,5.68,5.68,14.2,4.26,24435
0,Exelon Framingham LLC,GT2,5.68,1.0,5.68,5.68,14.2,4.26,24435
0,Exelon Framingham LLC,GT3,5.68,1.0,5.68,5.68,14.2,4.26,24435
0,Exelon Medway LLC,GT1,45.0,1.0,18.0,18.0,45.0,13.5,24435
0,Exelon Medway LLC,GT2,18.0,1.0,18.0,18.0,45.0,13.5,24435
0,Exelon Medway LLC,GT3,0.0,0.0,18.0,18.0,45.0,13.5,24435
0,Kendall Square Station,3,0.0,0.0,10.88,10.88,27.2,8.16,24435
0,Kendall Square Station,GEN4,186.2,1.0,74.48,74.48,186.2,55.86,24435
0,Kendall Square Station,JET1,8.520000000000001,1.0,8.52,8.52,21.3,6.39,24435
0,Oak Bluffs Diesel Generating Facility,UN1,1.08,1.0,1.08,1.08,2.7,0.81,24435
0,Oak Bluffs Diesel Generating Facility,UN2,2.7,1.0,1.08,1.08,2.7,0.81,24435
0,Oak Bluffs Diesel Generating Facility,UN3,2.7,1.0,1.08,1.08,2.7,0.81,24435
0,Canal,1,585.0,1.0,234.0,234.0,585.0,175.5,24435
0,Canal,2,580.0,1.0,232.0,232.0,580.0,174.0,24435
0,Canal,3,330.0,1.0,132.0,132.0,330.0,99.0,24435
0,Boatlock,1,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Boatlock,2,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Boatlock,3,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Chemical,1,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Chemical,2,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Hadley Falls,1,17.6,1.0,7.04,7.04,17.6,5.28,24435
0,Hadley Falls,2,15.8,1.0,6.32,6.32,15.8,4.74,24435
0,Riverside Holyoke,4,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Riverside Holyoke,5,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Riverside Holyoke,7,1.5,1.0,0.6,0.6,1.5,0.45,24435
0,Riverside Holyoke,8,4.0,1.0,1.6,1.6,4.0,1.2,24435
0,Nantucket Hybrid,18,6.16,1.0,6.16,6.16,15.4,4.62,24435
0,Nantucket Hybrid,19,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Nantucket Hybrid,20,0.0,0.0,2.4,2.4,6.0,1.8,24435
0,Deerfield 5,GEN1,17.5,1.0,7.0,7.0,17.5,5.25,24435
0,Cabot,1,10.3,1.0,4.12,4.12,10.3,3.09,24435
